"SYSTEM","PARENTID","DEPARTMENT","DESCRIPTION","SYNTURF_Location","System_Type","Turf_Type","Infill_Material","JOP","Maint_By","Maint_By_Spec","Construction_Entity","Construction_Entity_Spec","Contract_Type","Contract_Number","Commission_Date","RETIRED","Borough","Shape","FeatureStatus"
"Q026-SYNTURF-0048","Q026","Q-04","Park Of The Americas","104th Street & 41st Ave","Field Group","Infill","Uncoated Sand","false","DPR","NULL",,"NULL","Capital","NULL","06/01/2017","False","Q","MULTIPOLYGON (((-73.86232420145673 40.74837997853424, -73.86211342648322 40.74824539502778, -73.86208884191545 40.74823033792833, -73.86206121669488 40.74821869280641, -73.86203136949338 40.748210800131865, -73.86200017721677 40.74820689598585, -73.86196856557048 40.748207094040225, -73.86193746405966 40.74821138820463, -73.86159333914138 40.74831896043888, -73.86178718895015 40.74870880849424, -73.86185620317545 40.74873568227849, -73.86241608792639 40.748566465419124, -73.86232420145673 40.74837997853424)), ((-73.86232718613071 40.748381883973124, -73.86232394440415 40.74837945773377, -73.86232420145673 40.74837997853424, -73.86232718613071 40.748381883973124)))","Active"
"B068-SYNTURF-0014","B068","B-14","Parade Ground Baseball-07 and Soccer-08","Caton Avenue and Stratford Road","Field Group","Infill","Rubber Crumb","false","DPR","NULL","DPR","NULL","Capital","B068-101M","03/25/2004","False","B","MULTIPOLYGON (((-73.9685249077165 40.65058468812489, -73.96859184549461 40.65060066989825, -73.96931617372282 40.650317332975696, -73.96918331243336 40.65012247858476, -73.96955661471159 40.65022144852816, -73.97045219605216 40.64987185354018, -73.97047866208783 40.649797880115244, -73.96994987888088 40.648990835242614, -73.96988359516516 40.648977171459634, -73.96799320197141 40.649719886931294, -73.9679709680902 40.64976967756415, -73.9685249077165 40.65058468812489)))","Archived"
"Q413-SYNTURF-0038","Q413","Q-12A","Rochdale Park","132nd Avenue and Guy R Brewer Blvd","Play Area","Infill","Uncoated Sand","true","DPR","NULL","SCA","NULL","Unknown","NULL","07/01/2017","False","Q","MULTIPOLYGON (((-73.77556799426935 40.67567366527276, -73.77524080123477 40.675596235813465, -73.77523775179903 40.675595595891835, -73.77523459551477 40.67559542493115, -73.77523145773839 40.675595728579395, -73.7752284591558 40.67559649446513, -73.77522571577356 40.67559769489895, -73.77522333538843 40.67559928146345, -73.77522141046671 40.67560119220362, -73.77522001576935 40.675603354323584, -73.77516643063208 40.675734606350666, -73.77516584627938 40.67573567502385, -73.77516535054725 40.67573676998524, -73.77516494463678 40.67573788583409, -73.77516462974594 40.67573901807009, -73.7751642439477 40.67574223756774, -73.77516459147152 40.67574545939896, -73.7751656631772 40.675748588090954, -73.77516742626557 40.67575152902522, -73.77516982780294 40.67575419564869, -73.77517279709564 40.675756506776466, -73.77517624448282 40.675758393794005, -73.7751800672476 40.67575980156897, -73.77518151842996 40.675760182622085, -73.7751829970501 40.67576049438891, -73.77550649872158 40.67583705050906, -73.77550752906363 40.67583736319805, -73.77550857965245 40.67583763450276, -73.77550964694278 40.67583786351566, -73.77551072856592 40.67583805113274, -73.7755141718182 40.675838359524406, -73.77551763661162 40.67583824201314, -73.77552103067967 40.675837701120436, -73.77552426526816 40.67583675018087, -73.7755272574912 40.67583541604834, -73.77552992798695 40.675833732787666, -73.7755322080085 40.67583174348959, -73.7755340370581 40.6758295002662, -73.77553481493301 40.675828214043385, -73.77553544393469 40.67582688070322, -73.77553591811291 40.6758255110403, -73.77553623506573 40.675824115856116, -73.7755870645893 40.67569961396904, -73.77558765677404 40.675698324682145, -73.77558812841194 40.675697006343555, -73.77558875329623 40.67569373237922, -73.77558863313409 40.6756904254436, -73.77558777114969 40.67568718189837, -73.7755861918514 40.67568409994771, -73.77558394225044 40.67568126883458, -73.77558109066341 40.67567877334084, -73.77557771845987 40.67567668566659, -73.77557392714675 40.67567506904605, -73.77557248922308 40.67567461418131, -73.77557101795124 40.67567422769084, -73.77556951687349 40.67567391138262, -73.77556799426935 40.67567366527276)))","Active"
"Q448-SYNTURF-0040","Q448","Q-12A","Roy Wilkins Park","175th Street & 116th Avenue","Field Group","Infill","Uncoated Sand","false","DPR","NULL","DPR","NULL","Capital","Q448-104M","06/30/2005","False","Q","MULTIPOLYGON (((-73.77409800140593 40.68795468503063, -73.77410495115511 40.68788496808205, -73.77408886717456 40.68781613164696, -73.7740507640485 40.68775251369469, -73.77399304510631 40.68769812622178, -73.77391934830868 40.687656397408325, -73.77383431864502 40.68762995865709, -73.77374331769711 40.68762047473381, -73.7736520820995 40.68762854584619, -73.77360927804436 40.68763885810774, -73.77356840347677 40.68765299504151, -73.77353004348728 40.687670752483285, -73.77349475021275 40.68769187667615, -73.77264964577729 40.688383921210146, -73.77263442672582 40.68839836604305, -73.77262064816357 40.68841362688653, -73.77260838727528 40.68842961924512, -73.77259770942182 40.68844625679879, -73.77258867288168 40.68846344871102, -73.7725813264787 40.68848110142499, -73.77257571194797 40.688499118668226, -73.77257185802087 40.68851740144094, -73.77256850902812 40.688584304093176, -73.77258686028442 40.68864978088807, -73.77262578984364 40.68870981689732, -73.77268290640632 40.688760729667436, -73.77275470942332 40.688799396472284, -73.77283679428662 40.68882344563489, -73.7729241251205 40.688831401155944, -73.77301134679254 40.68882277698828, -73.77303600290321 40.68881908397383, -73.77306018853318 40.68881389336806, -73.77308374622665 40.68880723817992, -73.77310652558934 40.68879916223853, -73.77312837738255 40.68878971748007, -73.77314916061542 40.68877896576282, -73.77316873900777 40.68876697525789, -73.77318698807018 40.688753825866556, -73.77403024298103 40.688068289925276, -73.77405326519936 40.688042200342416, -73.77407237882309 40.68801434077056, -73.77408735201743 40.68798505115182, -73.77409800140593 40.68795468503063)))","Removed"
"Q396-SYNTURF-0036","Q396","Q-12A","Montbellier Park","Springfield Boulevard and 138th Road","Field Group","Non-Infill","Not Applicable","false","DPR","NULL","DPR","NULL","Capital","Q396-107M","07/17/2008","False","Q","MULTIPOLYGON (((-73.75601291317527 40.67567904443154, -73.75605965175605 40.67572026120252, -73.7565275883208 40.67578415357736, -73.75684716348425 40.67583794827102, -73.75687493058949 40.675822411774284, -73.75699160357752 40.67448502832174, -73.75694691389099 40.67444152623269, -73.75621692067709 40.67440417626329, -73.75601291317527 40.67567904443154)))","Active"
"Q448-SYNTURF-0041","Q448","Q-12A","Roy Wilkins Recreation Center","175th Street and 116th Avenue","Field Group","Infill","Rounded Sand","false","DPR","NULL","DPR","NULL","Capital","Q448-116M","11/08/2018","False","Q","MULTIPOLYGON (((-73.77403024298103 40.688068289925276, -73.77405326519936 40.688042200342416, -73.77407237882309 40.68801434077056, -73.77408735201743 40.68798505115182, -73.77409800140593 40.68795468503063, -73.77410495115511 40.68788496808205, -73.77408886717456 40.68781613164696, -73.7740507640485 40.68775251369469, -73.77399304510631 40.68769812622178, -73.77391934830868 40.687656397408325, -73.77383431864502 40.68762995865709, -73.77374331769711 40.68762047473381, -73.7736520820995 40.68762854584619, -73.77360927804436 40.68763885810774, -73.77356840347677 40.68765299504151, -73.77353004348728 40.687670752483285, -73.77349475021275 40.68769187667615, -73.77264964577729 40.688383921210146, -73.77263442672582 40.68839836604305, -73.77262064816357 40.68841362688653, -73.77260838727528 40.68842961924512, -73.77259770942182 40.68844625679879, -73.77258867288168 40.68846344871102, -73.7725813264787 40.68848110142499, -73.77257571194797 40.688499118668226, -73.77257185802087 40.68851740144094, -73.77256850902812 40.688584304093176, -73.77258686028442 40.68864978088807, -73.77262578984364 40.68870981689732, -73.77268290640632 40.688760729667436, -73.77275470942332 40.688799396472284, -73.77283679428662 40.68882344563489, -73.7729241251205 40.688831401155944, -73.77301134679254 40.68882277698828, -73.77303600290321 40.68881908397383, -73.77306018853318 40.68881389336806, -73.77308374622665 40.68880723817992, -73.77310652558934 40.68879916223853, -73.77312837738255 40.68878971748007, -73.77314916061542 40.68877896576282, -73.77316873900777 40.68876697525789, -73.77318698807018 40.688753825866556, -73.77403024298103 40.688068289925276)))","Active"
"M105-SYNTURF-0022","M105","M-03","Sara D. Roosevelt - Nike Field","Stanton Street and Chrystie Street","Field Group","Infill","Coated Sand","false","DPR","NULL","Other","Nike","Unknown","NULL","01/01/2015","False","M","MULTIPOLYGON (((-73.99122830792295 40.721957155190154, -73.99159861021741 40.72206737815156, -73.99183980592387 40.721574792486656, -73.99145384838047 40.72146278162107, -73.99122830792295 40.721957155190154)))","Archived"
"B144-SYNTURF-0127","B144","B-16","Ocean Hill Playground","Dean St & Rockaway Ave","Play Area","Unknown","Non-Infill","true",,"NULL",,"NULL",,"NULL","12/01/2023","False","B","MULTIPOLYGON (((-73.91263043309436 40.67471673873404, -73.91264553335155 40.674706921975215, -73.91265631915414 40.674690562396485, -73.91266063269663 40.67457767616307, -73.91265631816927 40.67455313564458, -73.91263690387481 40.67454168345846, -73.91249237559813 40.674540047249515, -73.91246433191328 40.674546591574185, -73.91245138981067 40.67457113157718, -73.912449232349 40.674703650678914, -73.91246433244629 40.67471019450698, -73.91251826122497 40.67471346657399, -73.91263043309436 40.67471673873404)))","Active"
"B125-SYNTURF-0126","B125","B-13","Calvert Vaux  Soccer-02","Shore Parkway and Bay 44th Street","Field Group","Infill","Uncoated Sand","false","DPR","NULL",,"NULL",,"NULL",,"False","B","MULTIPOLYGON (((-73.99303841222847 40.58622798752353, -73.99383113541066 40.58585423002535, -73.99384758997226 40.58584854950487, -73.99367859287695 40.585624779151566, -73.99364568493961 40.58563691819438, -73.99323041288598 40.58512125290073, -73.9932694163519 40.58510105734926, -73.99317771301057 40.5849852770294, -73.99310977889297 40.585017544138125, -73.99312028404286 40.58503155061063, -73.99243171443254 40.58534091010043, -73.99242168626805 40.585329627680544, -73.99236077184733 40.5853564241277, -73.99303841222847 40.58622798752353)))","Active"
"B125-SYNTURF-0125","B125","B-13","Calvert Vaux  Soccer-01","Shore Parkway and Bay 44th Street","Field Group","Infill","Uncoated Sand","false","DPR","NULL",,"NULL",,"NULL",,"False","B","MULTIPOLYGON (((-73.99199558451038 40.5865405183136, -73.99202469147336 40.5865630559366, -73.99207206023057 40.58658299230099, -73.99213198529779 40.586592527560114, -73.99218563300946 40.586585592688145, -73.99224384575042 40.58657129001662, -73.99229863444764 40.586554387275015, -73.99236369638398 40.58651407968573, -73.9924407435818 40.58645600191901, -73.99253262891271 40.586387522218665, -73.99261424039965 40.586336378662054, -73.99266489245701 40.58630673397309, -73.9927292536921 40.58627531249663, -73.99278901687711 40.58625087425509, -73.99280259458911 40.58624175640585, -73.99281800309492 40.5862222520318, -73.99282371032777 40.58619234690464, -73.99281343746047 40.586148137764425, -73.99278661402307 40.58610046237096, -73.99275237114348 40.58605625351865, -73.99271755807389 40.586031115005554, -73.9926530671519 40.58597650405647, -73.99261301333759 40.5859393882139, -73.9925777320172 40.58589848866595, -73.99252123121036 40.585830875499255, -73.99247842778587 40.585772363892396, -73.99243562379534 40.585709083997216, -73.99240708802779 40.58566184155222, -73.9923825474319 40.58561156460064, -73.99235458241662 40.5855526189763, -73.99233460708051 40.58551361146903, -73.99231292031044 40.58548413858672, -73.99229123280912 40.58546116657956, -73.9922666923041 40.58544209634475, -73.99223187855628 40.585416957683, -73.99219763556661 40.58540005433707, -73.9921542612112 40.585390085289525, -73.99212743795994 40.585387485444386, -73.99209433624488 40.585388785328604, -73.99206294663036 40.5853952867455, -73.99201500662943 40.58540828968526, -73.99193054103912 40.58543862872563, -73.99176103847253 40.58550450890334, -73.99168113828398 40.585541566893426, -73.99160922810069 40.58558382503436, -73.99149622570884 40.58565143883838, -73.99141860849178 40.58570648387092, -73.99139806241257 40.58572815433332, -73.99139064324824 40.585747225064445, -73.99139749188461 40.58577409719878, -73.99141975020974 40.58580226903935, -73.99149223065656 40.585894587993224, -73.99150421572409 40.58588938655581, -73.9915487312141 40.58594703144687, -73.99180217146336 40.58627045480426, -73.99192475613889 40.586430437874526, -73.99191022800223 40.58643457475779, -73.99196016936705 40.5864931897321, -73.99199558451038 40.5865405183136)))","Active"
"M071-SYNTURF-0117","M071","M-14","Riverside Park - West 101st Street","Riverside Drive and West 101st Street","Field Group","Infill","Non-Infill","false","DPR","NULL",,"NULL",,"NULL","04/14/2025","False","M","MULTIPOLYGON (((-73.97385233664114 40.80048580320695, -73.97389183500616 40.80047713224856, -73.97393054267373 40.80045709950016, -73.97396372131654 40.800433478801935, -73.97400677449114 40.8003584301132, -73.97406167606152 40.800253781064654, -73.97410038461923 40.80018531040818, -73.97418860440264 40.800010430740656, -73.97429237741119 40.79980925178858, -73.97431515647054 40.79977859576807, -73.97432274940562 40.799730696303165, -73.97430756300751 40.79970195618744, -73.97428984637703 40.79967704803009, -73.97426706600908 40.79965597216491, -73.9742417565937 40.79963872825489, -73.97421138299721 40.799623400369306, -73.97416835551574 40.799615736491425, -73.97411520408713 40.79961573627472, -73.97406205173384 40.79962723270732, -73.97401396288306 40.79965980464109, -73.97394562491299 40.799749856249306, -73.97382160339728 40.79995295105946, -73.97371969829717 40.800098037914964, -73.97356343782903 40.80030932322635, -73.97356528765825 40.800333083320886, -73.97357408580793 40.8003611502949, -73.97360550746754 40.80040253723093, -73.97363818601619 40.800421090488776, -73.97370856958824 40.800450108939316, -73.97374187618139 40.800465807728585, -73.97378146779744 40.800479127918656, -73.97381917396474 40.80048673940291, -73.97385233664114 40.80048580320695)))","Active"
"M071-SYNTURF-0116","M071","M-14","Riverside Park - West 107th Street","Riverside Drive and West 107th Street","Field Group","Infill","Uncoated Sand","false","DPR","NULL",,"NULL",,"NULL","04/14/2025","False","M","MULTIPOLYGON (((-73.97202448122263 40.80355963779184, -73.97200698259853 40.80350906333774, -73.97137383966505 40.803275453557724, -73.97065956545595 40.80429779111661, -73.97066433794774 40.80431344479782, -73.97086796172081 40.804391714643074, -73.97104295089382 40.80446757710971, -73.97117498784178 40.80452055951623, -73.97125293831222 40.80455668447075, -73.97133247865307 40.804544642099884, -73.97154087429436 40.80425323656306, -73.97178426894531 40.803908846663745, -73.97202448122263 40.80355963779184)))","Active"
"B363-SYNTURF-0124","B363","B-16","Houston Playground","Glenmore Ave and Sackman St","Field Group","Infill","Uncoated Sand","false","DPR","NULL","DPR","NULL","InHouse","NULL","09/06/2024","False","B","MULTIPOLYGON (((-73.90505563781511 40.672218677394945, -73.90508513032515 40.67218370949008, -73.90513233496283 40.672154777932704, -73.9051843410041 40.672141942529045, -73.90524559849419 40.6721414472846, -73.90522153028928 40.67210467651213, -73.90518251588162 40.67207884188776, -73.90513262277999 40.67206218894376, -73.90507862290909 40.67206159598951, -73.90502348251567 40.672074558432286, -73.9049843560958 40.672099189450364, -73.90495558229287 40.67213690899908, -73.9049457237693 40.672175451932574, -73.9049773459708 40.67217814358129, -73.905012165206 40.672189049663785, -73.90503835561933 40.672203882066505, -73.90505563781511 40.672218677394945)))","Active"
"M285-SYNTURF-0115","M285","M-11","McNair Playground","Lexington Ave & E 122nd St","Field Group","Infill","Uncoated Sand","false","DPR","NULL","DPR",,"InHouse","NULL","08/23/2024","False","M","MULTIPOLYGON (((-73.93816852171408 40.80252282773008, -73.93820620666555 40.80250420670685, -73.9382308061079 40.80247568127543, -73.93824022760057 40.80244200405743, -73.93823132922128 40.80240872404917, -73.93820672980696 40.80237980214452, -73.93816904552172 40.80236078500986, -73.93812350964173 40.80235404915722, -73.93807797435372 40.80236197341144, -73.93804133665108 40.80238099027515, -73.9380167370835 40.80240832790828, -73.93800731548336 40.80244200420766, -73.93801778393053 40.802475285077314, -73.93804238292925 40.802504603241275, -73.93807902123811 40.80252322453589, -73.93812403270627 40.80253075166304, -73.93816852171408 40.80252282773008)))","Active"
"B266-SYNTURF-0123","B266","B-03","Star Spangled Playground","Willoughby Ave & Franklin Ave",,"Infill","Non-Infill","true","DPR","NULL","DPR","NULL","Capital","NULL","02/07/2025","False","B","MULTIPOLYGON (((-73.95816759481933 40.69228715133071, -73.95820217962113 40.69224968994588, -73.95820217937296 40.69219724316361, -73.95814618468361 40.69189879817523, -73.95811983392443 40.69185009784458, -73.95807372162875 40.69182137719869, -73.95798149405165 40.691798900073394, -73.95788597326147 40.6918001483889, -73.95778880678729 40.69182012849555, -73.95771304828811 40.69186008706805, -73.95768175788125 40.69189630050752, -73.95767516998512 40.691943752424464, -73.95773281180803 40.69224594347993, -73.95775092702749 40.69229089744089, -73.95778715919899 40.69232586144985, -73.95788268034883 40.69234958714517, -73.95797984759753 40.69235208466721, -73.95807866124014 40.692330855988715, -73.95816759481933 40.69228715133071)))","Active"
"M071-SYNTURF-0016","M071","M-14","Riverside Park - West 101st Street","Riverside Drive and West 101st Street","Field Group","Infill","EPDM","false","DPR","NULL","Other","Riverside Park Conservancy","Unknown","NULL","03/07/2025","False","M","MULTIPOLYGON (((-73.9742943787185 40.799557992232955, -73.97425618542658 40.79954571890945, -73.97421566148746 40.79953903174942, -73.97417420982526 40.79953816249306, -73.97413326188153 40.79954313937609, -73.97409423495569 40.79955379162274, -73.97405847769735 40.799569750333674, -73.97402722625708 40.79959046378446, -73.97400156280543 40.7996152163258, -73.97354619283261 40.80022804291671, -73.9735425306949 40.80024120827465, -73.97354203357432 40.80025465891664, -73.97354471705091 40.800267959004735, -73.9735504959777 40.80028067808061, -73.9735591809199 40.80029240457221, -73.97357049236989 40.80030275750362, -73.97358406192627 40.80031140180399, -73.97359945125 40.800318057316886, -73.97385606687016 40.80042586773077, -73.973879016584 40.80043548306039, -73.97390384580339 40.80044185791448, -73.97392976657791 40.800444790401926, -73.97395596247335 40.80044418758602, -73.97398160279143 40.80044006909012, -73.97400587812126 40.80043256440393, -73.9740280204857 40.80042191108707, -73.97404733060009 40.80040844667048, -73.97439318164767 40.79976761172809, -73.97440310173342 40.79973849088549, -73.97440636961088 40.79970851309081, -73.97440289134029 40.79967854820602, -73.97439276731947 40.799649467936106, -73.97437629229378 40.79962211611269, -73.97435394469822 40.79959728798025, -73.97432637244664 40.799575704079245, -73.9742943787185 40.799557992232955)))","Archived"
"B125-SYNTURF-0030","B125","B-13","Calvert Vaux  Soccer-01","Shore Parkway and Bay 44th Street","Field Group","Non-Infill","Not Applicable","false","DPR","NULL","DPR","NULL","Capital","B125-108M PLANYC","10/10/2013","False","B","MULTIPOLYGON (((-73.99242413363461 40.586465017766294, -73.99250292066718 40.5864066717163, -73.99258623941888 40.586352106301895, -73.9926737780329 40.58630152681282, -73.99276520812072 40.58625512232864, -73.9927809097079 40.58624534723355, -73.99279426680579 40.58623372231407, -73.99280491084502 40.586220569935385, -73.99281254648723 40.58620625389123, -73.9928169622564 40.58619117039934, -73.99281803644597 40.58617573819582, -73.99281573830118 40.586160383226456, -73.99281013156333 40.58614553144272, -73.99278038478265 40.58609674461883, -73.9927436096065 40.58605082641114, -73.99270027373441 40.58600836488455, -73.99265093227508 40.58596990128175, -73.99257783405497 40.58589439489274, -73.99251159913919 40.58581529401434, -73.99245253340209 40.58573295888792, -73.99240090491313 40.5856477668615, -73.992389967234 40.585615376107796, -73.9923759241377 40.58558368845584, -73.99235885356686 40.585552876810155, -73.99233884881964 40.58552310957354, -73.99231601736842 40.58549454884586, -73.99229048558485 40.58546734952396, -73.99226239047108 40.58544166020174, -73.99223188674738 40.585417621369345, -73.99221094097287 40.585405699721335, -73.99218798218415 40.585396174225735, -73.99216347810656 40.58538923852586, -73.99213792718169 40.585385034037024, -73.9921118526619 40.58538364634414, -73.99208578371199 40.585385103399595, -73.99206025304704 40.58538937642342, -73.99203578039635 40.585396378101244, -73.99186577429046 40.585457195655515, -73.99170347964265 40.58552922593339, -73.99155016624688 40.585611905332954, -73.99140703187496 40.585704586503226, -73.99140009480007 40.585713258926106, -73.99139475579466 40.58572256453629, -73.99139111291996 40.58573233494348, -73.99138923116529 40.585742390948475, -73.99138914599095 40.58575254794668, -73.9913908597841 40.58576262133106, -73.99139433831472 40.58577242559103, -73.99139952136558 40.58578178331883, -73.99148295126099 40.585894011871225, -73.99149982917758 40.58588615065048, -73.99191500860012 40.58642264946228, -73.99190517828757 40.58642536294783, -73.99199049252891 40.586538850189314, -73.99201385136456 40.58655462088116, -73.99204000291817 40.58656759473598, -73.99206837669838 40.58657749074913, -73.99209835259404 40.58658409185015, -73.99212927741065 40.58658725300889, -73.99216047550078 40.58658690753967, -73.99219126648336 40.586583060799235, -73.99222097823701 40.586575797391575, -73.99225095348085 40.58656778025588, -73.99227997805659 40.58655794038902, -73.99230786532425 40.586546342616955, -73.99233442864283 40.586533062572045, -73.99235949672631 40.5865181875945, -73.99238290419387 40.58650181583144, -73.99240449629507 40.58648405353541, -73.99242413363461 40.586465017766294)))","Archived"
"B125-SYNTURF-0029","B125","B-13","Calvert Vaux  Soccer-02","Shore Parkway and Bay 44th Street","Field Group","Non-Infill","Not Applicable","false","DPR","NULL","DPR","NULL","Capital","B125-108M PLANYC","10/10/2013","False","B","MULTIPOLYGON (((-73.99235588451795 40.58535278388651, -73.99303553015437 40.58622744613426, -73.99385125848902 40.58585151242352, -73.99318098175502 40.584981143820286, -73.99310222280799 40.58501830822927, -73.99311065968054 40.585032604547045, -73.99243182944348 40.58533706307144, -73.992422380279 40.58532385266883, -73.99235588451795 40.58535278388651)))","Archived"
"M059-SYNTURF-0114","M059","M-06","Murphy Brothers Playground","Avenue C and East 20th Street","Field Group","Infill","Coated Sand",,,"NULL",,"NULL",,"NULL","02/07/2025","False","M","MULTIPOLYGON (((-73.9728971778653 40.73010257329076, -73.97328567253095 40.7303700511667, -73.97349634786075 40.73044473939618, -73.97366611654232 40.73020782124155, -73.97306963452142 40.72994277799011, -73.9728971778653 40.73010257329076)))","Active"
"M240-SYNTURF-0113","M240","M-12","Audubon Playground","Audubon Ave and W 169 St","Play Area","Infill","Coated Sand",,,"NULL",,"NULL",,"NULL","09/01/2020","False","M","MULTIPOLYGON (((-73.93852407833623 40.841460647477064, -73.93826561675326 40.84135100495336, -73.93815184551549 40.841505687463695, -73.93841167045252 40.84161347685163, -73.93852407833623 40.841460647477064)))","Active"
"M285-SYNTURF-0112","M285","M-11","McNair Playground","Lexington Avenue and E 122 Street","Play Area","Non-Infill","Not Applicable","true","DPR","NULL","DPR","NULL","Capital","M285-104M","10/17/2006","False","M","MULTIPOLYGON (((-73.93812412556537 40.80253029335892, -73.93816859447215 40.802523596795275, -73.93820630595717 40.802504477810245, -73.93823151816034 40.8024758491498, -73.93824039344733 40.80244206718123, -73.9382315808652 40.80240827573551, -73.9382064218672 40.80237961917815, -73.93816874600871 40.802360460669554, -73.93812428970588 40.80235371549078, -73.93807982090733 40.80236041293798, -73.93804210946844 40.80237953098155, -73.93801689721941 40.80240816050155, -73.93800802182356 40.802441942453065, -73.9380168342966 40.80247573391574, -73.9380419932502 40.80250438961351, -73.93807966915283 40.802523549063594, -73.93812412556537 40.80253029335892)))","Archived"
"B247-SYNTURF-0121","B247","B-18","Breukelen Playgound","Stanley Ave and Louisiana Ave","Field Group","Infill","Coated Sand",,"DPR","NULL","DPR","NULL","InHouse","NULL","10/30/2024","False","B","MULTIPOLYGON (((-73.89383464938541 40.65457274040113, -73.89400663008415 40.654507955479524, -73.8937340742855 40.65414239815911, -73.89356475174496 40.65421124376868, -73.89383464938541 40.65457274040113)))","Active"
"B363-SYNTURF-0120","B363","B-16","Houston Playground","Glenmore Avenue and Sackman Street","Play Area","Non-Infill","Not Applicable","true","DPR","NULL","DPR","NULL","Capital","B363-110M","04/13/2022","False","B","MULTIPOLYGON (((-73.90524838521465 40.67214295434149, -73.90523820103552 40.67212363169231, -73.90522369991766 40.6721059786442, -73.90520533878929 40.67209054938919, -73.90518369058337 40.67207782797464, -73.90515943598147 40.67206821208722, -73.90513333385756 40.67206200492436, -73.9051062023777 40.67205939896947, -73.90507889416243 40.67206047687223, -73.90505226199747 40.672065205116766, -73.90502714345767 40.672073434909244, -73.90500432423443 40.67208490845148, -73.904984520385 40.672099266129905, -73.9049683522964 40.67211605820058, -73.90495632692516 40.67213475828217, -73.90494882239891 40.67215477955209, -73.90494607142938 40.67217549454403, -73.90496225675774 40.67217649848261, -73.90497817153788 40.67217895562781, -73.90499359110223 40.67218283157466, -73.90500830027572 40.67218807031369, -73.90502208982092 40.67219459873063, -73.90503476708416 40.672202325714785, -73.90504615244683 40.672211142155845, -73.90505608523685 40.67222092274989, -73.90506897472712 40.67220086989595, -73.90508629179476 40.67218285405783, -73.90510749750221 40.67216743490979, -73.90513193120628 40.67215509278029, -73.90515883423703 40.67214621156213, -73.90518736765355 40.67214106792107, -73.90521664300836 40.67213982141571, -73.90524575191861 40.67214251182054, -73.90524838521465 40.67214295434149)))","Archived"
"B126-SYNTURF-0118","B126","B-06","Red Hook Recreation Area Soccer","Bay Street and Clinton Street","Field Group","Infill","Uncoated Sand",,,"NULL",,"NULL",,"NULL","09/01/2023","False","B","MULTIPOLYGON (((-74.00422352020998 40.67193785303332, -74.00469033099965 40.67101134341457, -74.00399529717197 40.67083765213902, -74.00355171534498 40.6717528990998, -74.00422352020998 40.67193785303332)))","Active"
"B126-SYNTURF-0117","B126","B-06","Red Hook Recreation Area Baseball","Bay Street and Clinton Street","Field Group","Infill","Uncoated Sand",,,"NULL",,"NULL",,"NULL","09/01/2023","False","B","MULTIPOLYGON (((-74.00586449290972 40.67130351127302, -74.00586603155884 40.67130290154574, -74.005648286991 40.671249396619146, -74.00542037696636 40.67123401597527, -74.00519366697405 40.671257527180884, -74.00497946203706 40.67131875728309, -74.00478844265874 40.671414652259486, -74.00463013387187 40.67154043190646, -74.00451242984475 40.671689823059076, -74.0044412000569 40.67185537745286, -74.00543583665593 40.672125763979444, -74.0054659196208 40.67211649715323, -74.00586449290972 40.67130351127302)))","Active"
"X010-SYNTURF-0004","X010","X-03","Crotona Park","Crotona Park East and Crotona Park North","Field Group","Non-Infill","Non-Infill",,"DPR","NULL",,"NULL",,"NULL","05/05/2022","False","X","MULTIPOLYGON (((-73.88989078922978 40.83824283010137, -73.88990455888322 40.83821679915227, -73.88991139486858 40.83818923074334, -73.88991103697236 40.83816117910626, -73.88990349765689 40.83813371674141, -73.88988906568423 40.83810789299883, -73.88986829313473 40.838084696245325, -73.8898419741308 40.838065013322215, -73.88981111406409 40.83804959619851, -73.88977689525406 40.8380390358242, -73.88974062364149 40.838033733264226, -73.88970368611407 40.83803389425513, -73.88966749718459 40.838039510243924, -73.88963343850666 40.83805036823586, -73.88960281381793 40.838066052551774, -73.88957679199927 40.838085962783346, -73.8895563702791 40.838109338070446, -73.8893253165072 40.83843522876974, -73.88931526323003 40.838460110582936, -73.88931128376045 40.83848596175298, -73.88931350638595 40.83851193323757, -73.8893218602015 40.83853717490189, -73.88933607151255 40.83856085892782, -73.88935567208736 40.83858220773755, -73.88938002163613 40.83860052283131, -73.88940831963883 40.83861520190845, -73.88943963968687 40.8386257650152, -73.88947295555015 40.83863186537592, -73.8895071719834 40.838633302930546, -73.88954116977249 40.83863003068112, -73.88957383300483 40.838622155618886, -73.88960409175934 40.83860993606313, -73.88963095176479 40.83859377268481, -73.88965353354843 40.8385741959363, -73.88989078922978 40.83824283010137)))","Active"
